Action,Prodid,Product Type,Merchandise Type,Product Title,Anchor Text,Spider URL,Amazon Title,Amazon Description,eBay Title,eBay Description,Sub Title,Screen Title,allow new brand,Brand,Description,Additional Description,Additional Description 2,Additional Description 3,Additional Description 4,Bullet Point,primary keyword,secondary keyword,tertiary keyword,META Description,META Keywords,General Image Tags,General Image,allow new category,Main Category,Main Category ID,Main Category Meta Title,Main Category Meta Keywords,Main Category Meta Description,Main Category Spider URL,Main Category Redirect URL,Main Category Image URL,Main Category Amazon Category,Main Category Amazon Category ID,Sub Category,Sub Category ID,Sub Category Meta Title,Sub Category Meta Keywords,Sub Category Meta Description,Sub Category Spider URL,Sub Category Redirect URL,Sub Category Image URL,Sub Category Amazon Category,Sub Category Amazon Category ID,Sub Category Ebay Category,Section Category,Section Category ID,Section Category Meta Title,Section Category Meta Keywords,Section Category Meta Description,Section Category Spider URL,Section Category Redirect URL,Section Category Image URL,Section Category Amazon Category,Section Category Amazon Category ID,Section Category Ebay Category,Cross sell main cat 1,Cross sell sub cat 1,Cross sell sec cat 1,Cross sell main cat 2,Cross sell sub cat 2,Cross sell sec cat 2,Cross sell main cat 3,Cross sell sub cat 3,Cross sell sec cat 3,Cross sell main cat 4,Cross sell sub cat 4,Cross sell sec cat 4,Cross sell main cat 5,Cross sell sub cat 5,Cross sell sec cat 5,Specifications,Featured,Supplier,Re-Order Supplier,Warehouse,Workflow,301 redirect,Hidden,internaluse,Processing Time,Combinable,Consolidatable,Shipping Type,Shipping Carrier 1,Shipping Carrier 2,Shipping Carrier 3,allowground,allow3day,allow2day,allownextday,allowinternational,Shipping Ground Rate,Shipping 3-Day Air Rate,Shipping 2-Day Air Rate,Shipping Next-Day Air Rate,Shipping Inter. North America,Shipping Inter. South America,Shipping Inter. Europe,Shipping Inter. Africa,Shipping Inter. Asia,Shipping Inter. Oceania,upsellids,upsellProdNames,Force Upsell,upsellProdQty,relatedProdIDs,relatedProdNames,File Attachments,Videos,Search Tags,Live Inventory,Min Qty,Max Qty,Qty Increments,Predefined Qty,Qty Discounts,Sort Priority,Out Of Stock Rule,Checkout rule,Show Prices To Public,Expedited,amazon affiliate asin,wholesale level,custom html above qty,custom html below thumbnail,custom html above upsells,custom html above price,custom html below price,custom html above image,custom html below product,custom html below image,auto responder,allow Sample,sample Price,sample Sufix,sample Ground Shipping,sample Inter Shipping,support ticket,pickup available,Application URL,Part Number Dependancies,Part Number,Manufacturer Part Number,UPC,EAN,ItemCondition,Application Specific Image,Application Specifications,Warning Note,Application Qty Discounts,MSRP,Jobber,Web Price,Cost Price,Item Weight,Item Height,Item Width,Item Length,Shipping Weight,Shipping Height,Shipping Width,Shipping Length,Primary Option Style,Primary Option Title,Primary Choice,Primary Option Position,Primary Option Parent,Primary Option Type,Primary Option ID,Second Option Style,Second option type,Second Option Title,Second Option Choice,Second Option Choice Parent,Second Option Part Number Ext,Application Specific Image 2,application specific image 2 tags,Third Option Style,Third Option Title,Third Option Choice,Third Option Choice Parent,Third Option Part Number Ext,Application Specific Image 3,application specific image 3 tags,Fourth Option Style,Fourth Option Title,Fourth Option Choice,Fourth Option Choice Parent,Fourth Option Part Number Ext,Application Specific Image 4,application specific image 4 tags,Fifth Option Style,Fifth Option Title,Fifth Option Choice,Fifth Option Choice Parent,Fifth Option Part Number Ext,Application Specific Image 5,application specific image 5 tags,Vehicle Make,Vehicle Model,Vehicle Sub Model,Start Year,End Year,Engine,Aspiration,Cylinder Type,Drive Type,Brakes,ABS,Transmission,Doors,Body Type,Bed Type,Navigation,Climate Control,Radio,Heated Seats,Sunroof,Vehicle Engine Options,Vehicle Interior Options,Vehicle Exterior Options,Vehicle Warning Note,Vehicle Description,Wheel Diameter,Wheel Width,Wheel Finish,Wheel BoltPattern,Wheel Offset,Wheel HubBore,Section Width,Aspect Ratio,Diameter,Speed Rating,Load Index,Tire Type,Load Range,Side Wall,xFactor,Check
,1,1,1,"1TB Samsung® 960 Pro [3,500MB/s Sequential Reads]","1TB 960 Pro [3,500MB/s Sequential Reads]","1tb-samsung-960-pro3500mbs-sequential-reads","","","","","","",1,"Samsung","<P>1TB Samsung® 960 Pro [3,500MB/s Sequential Reads]</P>","","","","","","","","","1TB Samsung® 960 Pro [3,500MB/s Sequential Reads]","1TB Samsung® 960 Pro [3,500MB/s Sequential Reads]","1TB 960 Pro [3,500MB/s Sequential Reads]","https://www.maingear.com/ShowProductImage.aspx?ImgType=ProductImage&ImgDim=800&StoreID=5848&StoreName=maingear&FileName=e215f28d-b87a-42d0-a9c9-27849e34817b.jpg",1,"Storage","14","","","","storage","","https://www.maingear.com/showCategoryImage.aspx?w=300&filename=c-14.jpg&storeName=maingear&sid=5848","","","M.2 NVME","18","","","","m2-nvme","","https://www.maingear.com/showCategoryImage.aspx?w=300&filename=s-18.jpg&storeName=maingear&sid=5848","","","","","0","","","","","","https://www.maingear.com/showCategoryImage.aspx?w=300&filename=&storeName=maingear&sid=5848","","","",,,,,,,,,,,,,,,,"",0,"Shopping Cart Elite","Shopping Cart Elite","","","",no,"no",2,1,1,dynamic,"FedEX","UPS","USPS",1,1,1,1,1,,,,,,,,,,,"","",0,"","","","","","","0",1,0,"1","","",0,0,"0~",True,,"","Small Business~10~6~","","","","","","","","","","0","0.0000","","0.0000","0.0000","","0","https://www.maingear.com/product/1tb-samsung-960-pro3500mbs-sequential-reads/Default.aspx",,"ssd-m2-samsung-960-pro-1tb","MZ-V6P1T0","","","0",,,,,"595.00","595.00","595.00","595.00","1","1","1","1","1","1","1","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,2,1,1,"400GB Intel® 750 Series [2,400MB/s Sequential Reads]","400GB 750 Series [2,400MB/s Sequential Reads]","400gb-750-series-2400mbs-sequential-reads","","","","","","",1,"Intel","<P>400GB Intel® 750 Series 2.5"" PCI-Express 3.0 MLC Internal Solid State Drive (SSD)</P>","","","","","","","","","400GB Intel® 750 Series [2,400MB/s Sequential Reads]","400GB Intel® 750 Series [2,400MB/s Sequential Reads]","","https://www.maingear.com/ShowProductImage.aspx?ImgType=ProductImage&ImgDim=800&StoreID=5848&StoreName=maingear&FileName=f09a77ee-5e83-427d-990d-6af26bba4290.jpg",1,"Storage","14","","","","storage","","https://www.maingear.com/showCategoryImage.aspx?w=300&filename=c-14.jpg&storeName=maingear&sid=5848","","","PCIe NVME","17","","","","pcie-nvme","","https://www.maingear.com/showCategoryImage.aspx?w=300&filename=s-17.jpg&storeName=maingear&sid=5848","","","","","0","","","","","","https://www.maingear.com/showCategoryImage.aspx?w=300&filename=&storeName=maingear&sid=5848","","","",,,,,,,,,,,,,,,,"",0,"Shopping Cart Elite","Shopping Cart Elite","","","",no,"no",2,1,1,dynamic,"FedEX","UPS","USPS",1,1,1,1,1,,,,,,,,,,,"","",0,"","","","","","","0",1,0,"1","","",0,0,"0~",True,,"","Small Business~10~6~","","","","","","","","","","0","0.0000","","0.0000","0.0000","","0","https://www.maingear.com/product/400gb-750-series-2400mbs-sequential-reads/Default.aspx",,"ssd-pcie-intel-750-400gb","","","","0",,,,,"429.80","429.80","429.80","307.00","1","1","1","1","1","1","1","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,3,1,1,"4TB Seagate Desktop HDD 5200rpm 64MB Cache","4TB Desktop HDD 5200rpm 64MB Cache","4tb-seagate-desktop-hdd-5200rpm-64mb-cache","","","","","","",1,"Seagate","<P>[HDD] 4TB Seagate Desktop HDD 7200rpm 64MB Cache</P>","","","","","","","","","4TB Seagate Desktop HDD 5200rpm 64MB Cache","4TB Seagate Desktop HDD 5200rpm 64MB Cache","","https://www.maingear.com/ShowProductImage.aspx?ImgType=ProductImage&ImgDim=800&StoreID=5848&StoreName=maingear&FileName=cd0bcc06-982b-4a17-bc4b-9578e5a9e547.jpg",1,"Storage","14","","","","storage","","https://www.maingear.com/showCategoryImage.aspx?w=300&filename=c-14.jpg&storeName=maingear&sid=5848","","","HDD","15","","","","hdd","","https://www.maingear.com/showCategoryImage.aspx?w=300&filename=s-15.jpg&storeName=maingear&sid=5848","","","","","0","","","","","","https://www.maingear.com/showCategoryImage.aspx?w=300&filename=&storeName=maingear&sid=5848","","","",,,,,,,,,,,,,,,,"",0,"Shopping Cart Elite","Shopping Cart Elite","","","",no,"no",2,1,1,dynamic,"FedEX","UPS","USPS",1,1,1,1,1,,,,,,,,,,,"","",0,"","","","","","","0",1,0,"1","","",0,0,"0~",True,,"","Small Business~10~6~","","","","","","","","","","0","0.0000","","0.0000","0.0000","","0","https://www.maingear.com/product/4tb-seagate-desktop-hdd-5200rpm-64mb-cache/Default.aspx",,"hdd-3.5seagate-4tb","ST4000DM000","","","0",,,,,"154.00","154.00","154.00","110.00","1","1","1","1","1","1","1","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,4,1,1,"250GB 850 EVO [520MB/s Sequential Reads]","250GB 850 EVO [520MB/s Sequential Reads]","250gb-850-evo520mbs-sequential-reads","","","","","","",1,"Samsung","<P>250GB Samsung® 850 EVO&nbsp;[520MB/s Sequential Reads]</P>","","","","","Supports RAPID, TurboWrite","","","","250GB Samsung® 850 EVO [520MB/s Sequential Reads]","250GB Samsung® 850 EVO [520MB/s Sequential Reads]","","https://www.maingear.com/ShowProductImage.aspx?ImgType=ProductImage&ImgDim=800&StoreID=5848&StoreName=maingear&FileName=0192759c-02d3-4889-b460-005ad700cde4.jpg",1,"Storage","14","","","","storage","","https://www.maingear.com/showCategoryImage.aspx?w=300&filename=c-14.jpg&storeName=maingear&sid=5848","","","SSD","16","","","","ssd","","https://www.maingear.com/showCategoryImage.aspx?w=300&filename=s-16.jpg&storeName=maingear&sid=5848","","","","","0","","","","","","https://www.maingear.com/showCategoryImage.aspx?w=300&filename=&storeName=maingear&sid=5848","","","",,,,,,,,,,,,,,,,"Item Spec##Sequential Write~520MB/s~1^NAND Type~19nm 128Gbit 32-layer 3D V-NAND 3-bit TLC~1^Power Consumption~2mW in DevSleep mode , 3.7W (read) and up to 4.4W (write)~1^Endurance~75TB with 5-year warranty~1^Encryption~AES-256, TCG Opal 2.0 & IEEE-1667~1",0,"Shopping Cart Elite","Shopping Cart Elite","","","",no,"no",2,1,1,dynamic,"FedEX","UPS","USPS",1,1,1,1,1,,,,,,,,,,,"","",0,"","","","","","","0",1,0,"1","","",0,0,"0~",True,,"","Small Business~10~6~","","","","","","","","","","0","0.0000","","0.0000","0.0000","","0","https://www.maingear.com/product/250gb-850-evo520mbs-sequential-reads/Default.aspx",,"ssd-2.5-samsung-850-evo-250gb","MZ-75E250B","","","0",,,,,"131.60","131.60","131.60","94.00","1","1","1","1","1","1","1","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,5,1,1,"2TB Seagate Desktop HDD 7200rpm 64MB Cache","2TB Desktop HDD 7200rpm 64MB Cache","2tb-desktop-hdd-7200rpm-64mb-cache","","","","","","",1,"Seagate","<P>2TB Seagate® Barracuda 7200rpm 64MB Cache SATA 6G</P>","","","","","","","","","2TB Seagate Desktop HDD 7200rpm 64MB Cache","2TB Seagate Desktop HDD 7200rpm 64MB Cache","","https://www.maingear.com/ShowProductImage.aspx?ImgType=ProductImage&ImgDim=800&StoreID=5848&StoreName=maingear&FileName=aaea4a71-68d6-4bff-aebe-70422334f834.jpg",1,"Storage","14","","","","storage","","https://www.maingear.com/showCategoryImage.aspx?w=300&filename=c-14.jpg&storeName=maingear&sid=5848","","","HDD","15","","","","hdd","","https://www.maingear.com/showCategoryImage.aspx?w=300&filename=s-15.jpg&storeName=maingear&sid=5848","","","","","0","","","","","","https://www.maingear.com/showCategoryImage.aspx?w=300&filename=&storeName=maingear&sid=5848","","","",,,,,,,,,,,,,,,,"",0,"Shopping Cart Elite","Shopping Cart Elite","","","",no,"no",2,1,1,dynamic,"FedEX","UPS","USPS",1,1,1,1,1,,,,,,,,,,,"","",0,"","","","","","","0",1,0,"1","","",0,0,"0~",True,,"","Small Business~10~6~","","","","","","","","","","0","0.0000","","0.0000","0.0000","","0","https://www.maingear.com/product/2tb-desktop-hdd-7200rpm-64mb-cache/Default.aspx",,"hdd-3.5-seagate-2tb","ST2000DM001","","","0",,,,,"88.20","88.20","88.20","63.00","1","1","1","1","1","1","1","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,6,2,1,"Power Supply Sleeving","Power Supply Sleeving","power-supply-sleeving","","","","","","",1,"MAIMGEAR","<P>Power Supply Sleeving </P> <P><STRONG>NOTE</STRONG>: These PSU sleeving options are the real deal - they replace the PSU cables and are individually sleeved and are gorgeous. Selecting sleeving may delay your order.</P>","","","","","","","","","Power Supply Sleeving","Power Supply Sleeving","","https://www.maingear.com/ShowProductImage.aspx?ImgType=ProductImage&ImgDim=800&StoreID=5848&StoreName=maingear&FileName=7191eee3-bf02-46cf-b277-4c052166acd3.jpg",1,"Power Supply Sleeving","13","","","","power-supply-sleeving","","https://www.maingear.com/showCategoryImage.aspx?w=300&filename=c-13.jpg&storeName=maingear&sid=5848","","","Power Supply Sleeving","14","","","","power-supply-sleeving","","https://www.maingear.com/showCategoryImage.aspx?w=300&filename=&storeName=maingear&sid=5848","","","","","0","","","","","","https://www.maingear.com/showCategoryImage.aspx?w=300&filename=&storeName=maingear&sid=5848","","","",,,,,,,,,,,,,,,,"",0,"Shopping Cart Elite","Shopping Cart Elite","","","",no,"no",2,1,1,dynamic,"FedEX","UPS","USPS",1,1,1,1,1,,,,,,,,,,,"","",0,"","","","","","","0",1,0,"1","","",0,0,"0~",True,,"","Small Business~10~6~","","","","","","","","","","0","0.0000","","0.0000","0.0000","","0","https://www.maingear.com/product/power-supply-sleeving/Default.aspx?gfid=p6-o1",,"sleeving-corsair-black","CM-CSI-FKIT-KK","","","0","https://www.maingear.com/ShowProductImage.aspx?ImgType=OptionImage&ImgDim=800&StoreID=5848&StoreName=maingear&FileName=9584e042-bf0f-4a64-90db-477dcc046ca0.jpg","","","","99.00","99.00","99.00","70.00","1","1","1","1","1","1","1","1","0","Color","Black","1","","0","1","-1","","","","","","","","-1","","","","","","","-1","","","","","","","-1","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,6,2,1,"Power Supply Sleeving","Power Supply Sleeving","power-supply-sleeving","","","","","","",1,"MAIMGEAR","<P>Power Supply Sleeving </P> <P><STRONG>NOTE</STRONG>: These PSU sleeving options are the real deal - they replace the PSU cables and are individually sleeved and are gorgeous. Selecting sleeving may delay your order.</P>","","","","","","","","","Power Supply Sleeving","Power Supply Sleeving","","https://www.maingear.com/ShowProductImage.aspx?ImgType=ProductImage&ImgDim=800&StoreID=5848&StoreName=maingear&FileName=7191eee3-bf02-46cf-b277-4c052166acd3.jpg",1,"Power Supply Sleeving","13","","","","power-supply-sleeving","","https://www.maingear.com/showCategoryImage.aspx?w=300&filename=c-13.jpg&storeName=maingear&sid=5848","","","Power Supply Sleeving","14","","","","power-supply-sleeving","","https://www.maingear.com/showCategoryImage.aspx?w=300&filename=&storeName=maingear&sid=5848","","","","","0","","","","","","https://www.maingear.com/showCategoryImage.aspx?w=300&filename=&storeName=maingear&sid=5848","","","",,,,,,,,,,,,,,,,"",0,"Shopping Cart Elite","Shopping Cart Elite","","","",no,"no",2,1,1,dynamic,"FedEX","UPS","USPS",1,1,1,1,1,,,,,,,,,,,"","",0,"","","","","","","0",1,0,"1","","",0,0,"0~",True,,"","Small Business~10~6~","","","","","","","","","","0","0.0000","","0.0000","0.0000","","0","https://www.maingear.com/product/power-supply-sleeving/Default.aspx?gfid=p6-o2",,"sleeving-corsair-blue","CM-CSI-FKIT-KB","","","0","https://www.maingear.com/ShowProductImage.aspx?ImgType=OptionImage&ImgDim=800&StoreID=5848&StoreName=maingear&FileName=c5d12168-2492-43ee-97ab-9af6bcf33092.jpg","","","","99.00","99.00","99.00","70.00","1","1","1","1","1","1","1","1","0","Color","Blue","1","","0","2","-1","","","","","","","","-1","","","","","","","-1","","","","","","","-1","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,6,2,1,"Power Supply Sleeving","Power Supply Sleeving","power-supply-sleeving","","","","","","",1,"MAIMGEAR","<P>Power Supply Sleeving </P> <P><STRONG>NOTE</STRONG>: These PSU sleeving options are the real deal - they replace the PSU cables and are individually sleeved and are gorgeous. Selecting sleeving may delay your order.</P>","","","","","","","","","Power Supply Sleeving","Power Supply Sleeving","","https://www.maingear.com/ShowProductImage.aspx?ImgType=ProductImage&ImgDim=800&StoreID=5848&StoreName=maingear&FileName=7191eee3-bf02-46cf-b277-4c052166acd3.jpg",1,"Power Supply Sleeving","13","","","","power-supply-sleeving","","https://www.maingear.com/showCategoryImage.aspx?w=300&filename=c-13.jpg&storeName=maingear&sid=5848","","","Power Supply Sleeving","14","","","","power-supply-sleeving","","https://www.maingear.com/showCategoryImage.aspx?w=300&filename=&storeName=maingear&sid=5848","","","","","0","","","","","","https://www.maingear.com/showCategoryImage.aspx?w=300&filename=&storeName=maingear&sid=5848","","","",,,,,,,,,,,,,,,,"",0,"Shopping Cart Elite","Shopping Cart Elite","","","",no,"no",2,1,1,dynamic,"FedEX","UPS","USPS",1,1,1,1,1,,,,,,,,,,,"","",0,"","","","","","","0",1,0,"1","","",0,0,"0~",True,,"","Small Business~10~6~","","","","","","","","","","0","0.0000","","0.0000","0.0000","","0","https://www.maingear.com/product/power-supply-sleeving/Default.aspx?gfid=p6-o3",,"sleeving-corsair-green","CM-CSI-FKIT-KG","","","0","https://www.maingear.com/ShowProductImage.aspx?ImgType=OptionImage&ImgDim=800&StoreID=5848&StoreName=maingear&FileName=657f2df8-ac46-4db6-9564-5c9f21c156b9.jpg","","","","99.00","99.00","99.00","70.00","1","1","1","1","1","1","1","1","0","Color","Green","1","","0","3","-1","","","","","","","","-1","","","","","","","-1","","","","","","","-1","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,6,2,1,"Power Supply Sleeving","Power Supply Sleeving","power-supply-sleeving","","","","","","",1,"MAIMGEAR","<P>Power Supply Sleeving </P> <P><STRONG>NOTE</STRONG>: These PSU sleeving options are the real deal - they replace the PSU cables and are individually sleeved and are gorgeous. Selecting sleeving may delay your order.</P>","","","","","","","","","Power Supply Sleeving","Power Supply Sleeving","","https://www.maingear.com/ShowProductImage.aspx?ImgType=ProductImage&ImgDim=800&StoreID=5848&StoreName=maingear&FileName=7191eee3-bf02-46cf-b277-4c052166acd3.jpg",1,"Power Supply Sleeving","13","","","","power-supply-sleeving","","https://www.maingear.com/showCategoryImage.aspx?w=300&filename=c-13.jpg&storeName=maingear&sid=5848","","","Power Supply Sleeving","14","","","","power-supply-sleeving","","https://www.maingear.com/showCategoryImage.aspx?w=300&filename=&storeName=maingear&sid=5848","","","","","0","","","","","","https://www.maingear.com/showCategoryImage.aspx?w=300&filename=&storeName=maingear&sid=5848","","","",,,,,,,,,,,,,,,,"",0,"Shopping Cart Elite","Shopping Cart Elite","","","",no,"no",2,1,1,dynamic,"FedEX","UPS","USPS",1,1,1,1,1,,,,,,,,,,,"","",0,"","","","","","","0",1,0,"1","","",0,0,"0~",True,,"","Small Business~10~6~","","","","","","","","","","0","0.0000","","0.0000","0.0000","","0","https://www.maingear.com/product/power-supply-sleeving/Default.aspx?gfid=p6-o4",,"sleeving-corsair-red","CM-CSI-FKIT-KR","","","0","https://www.maingear.com/ShowProductImage.aspx?ImgType=OptionImage&ImgDim=800&StoreID=5848&StoreName=maingear&FileName=e8f0ec75-0cf4-4c9e-920c-c0a87d25a2c6.jpg","","","","99.00","99.00","99.00","70.00","1","1","1","1","1","1","1","1","0","Color","Red","1","","0","4","-1","","","","","","","","-1","","","","","","","-1","","","","","","","-1","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,6,2,1,"Power Supply Sleeving","Power Supply Sleeving","power-supply-sleeving","","","","","","",1,"MAIMGEAR","<P>Power Supply Sleeving </P> <P><STRONG>NOTE</STRONG>: These PSU sleeving options are the real deal - they replace the PSU cables and are individually sleeved and are gorgeous. Selecting sleeving may delay your order.</P>","","","","","","","","","Power Supply Sleeving","Power Supply Sleeving","","https://www.maingear.com/ShowProductImage.aspx?ImgType=ProductImage&ImgDim=800&StoreID=5848&StoreName=maingear&FileName=7191eee3-bf02-46cf-b277-4c052166acd3.jpg",1,"Power Supply Sleeving","13","","","","power-supply-sleeving","","https://www.maingear.com/showCategoryImage.aspx?w=300&filename=c-13.jpg&storeName=maingear&sid=5848","","","Power Supply Sleeving","14","","","","power-supply-sleeving","","https://www.maingear.com/showCategoryImage.aspx?w=300&filename=&storeName=maingear&sid=5848","","","","","0","","","","","","https://www.maingear.com/showCategoryImage.aspx?w=300&filename=&storeName=maingear&sid=5848","","","",,,,,,,,,,,,,,,,"",0,"Shopping Cart Elite","Shopping Cart Elite","","","",no,"no",2,1,1,dynamic,"FedEX","UPS","USPS",1,1,1,1,1,,,,,,,,,,,"","",0,"","","","","","","0",1,0,"1","","",0,0,"0~",True,,"","Small Business~10~6~","","","","","","","","","","0","0.0000","","0.0000","0.0000","","0","https://www.maingear.com/product/power-supply-sleeving/Default.aspx?gfid=p6-o5",,"sleeving-corsair-white","CM-CSI-FKIT-KW","","","0","https://www.maingear.com/ShowProductImage.aspx?ImgType=OptionImage&ImgDim=800&StoreID=5848&StoreName=maingear&FileName=4fb33430-5de3-4b22-b60d-85a40eac9300.jpg","","","","99.00","99.00","99.00","70.00","1","1","1","1","1","1","1","1","0","Color","White","1","","0","5","-1","","","","","","","","-1","","","","","","","-1","","","","","","","-1","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
